410 faults | 368 avg.
410 faults | 367 avg.
410 faults | 367 avg.
410 faults | 367 avg.
410 faults | 367 avg.
410 faults | 367 avg.
410 faults | 367 avg.
410 faults | 367 avg.
410 faults | 367 avg.
410 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 367 avg.
408 faults | 366 avg.
408 faults | 366 avg.
408 faults | 366 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 365 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
408 faults | 364 avg.
406 faults | 363 avg.
406 faults | 363 avg.
405 faults | 363 avg.
404 faults | 363 avg.
404 faults | 363 avg.
404 faults | 363 avg.
404 faults | 363 avg.
404 faults | 362 avg.
404 faults | 362 avg.
404 faults | 362 avg.
404 faults | 362 avg.
404 faults | 362 avg.
404 faults | 362 avg.
404 faults | 362 avg.
404 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
402 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 362 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
400 faults | 361 avg.
