760 faults | 765 avg.
759 faults | 765 avg.
759 faults | 765 avg.
759 faults | 765 avg.
759 faults | 765 avg.
759 faults | 765 avg.
759 faults | 765 avg.
759 faults | 764 avg.
759 faults | 764 avg.
759 faults | 764 avg.
759 faults | 764 avg.
759 faults | 764 avg.
759 faults | 764 avg.
759 faults | 764 avg.
759 faults | 764 avg.
759 faults | 764 avg.
758 faults | 764 avg.
758 faults | 764 avg.
758 faults | 764 avg.
758 faults | 764 avg.
757 faults | 763 avg.
757 faults | 763 avg.
757 faults | 763 avg.
757 faults | 763 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 762 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
757 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 761 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 760 avg.
756 faults | 759 avg.
756 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
755 faults | 759 avg.
753 faults | 759 avg.
753 faults | 759 avg.
753 faults | 759 avg.
753 faults | 759 avg.
753 faults | 759 avg.
753 faults | 759 avg.
753 faults | 759 avg.
752 faults | 759 avg.
752 faults | 759 avg.
752 faults | 759 avg.
752 faults | 759 avg.
752 faults | 758 avg.
752 faults | 758 avg.
752 faults | 758 avg.
752 faults | 758 avg.
752 faults | 758 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 757 avg.
752 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 756 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
751 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 755 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
750 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 754 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 753 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
749 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
748 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
747 faults | 752 avg.
745 faults | 752 avg.
745 faults | 752 avg.
745 faults | 752 avg.
745 faults | 751 avg.
744 faults | 751 avg.
744 faults | 751 avg.
744 faults | 750 avg.
744 faults | 750 avg.
744 faults | 750 avg.
744 faults | 750 avg.
744 faults | 750 avg.
744 faults | 750 avg.
742 faults | 750 avg.
742 faults | 750 avg.
738 faults | 749 avg.
738 faults | 748 avg.
738 faults | 747 avg.
737 faults | 746 avg.
737 faults | 745 avg.
737 faults | 743 avg.
737 faults | 743 avg.
737 faults | 742 avg.
736 faults | 742 avg.
736 faults | 742 avg.
735 faults | 742 avg.
735 faults | 741 avg.
735 faults | 741 avg.
735 faults | 741 avg.
735 faults | 741 avg.
735 faults | 741 avg.
735 faults | 741 avg.
735 faults | 741 avg.
735 faults | 741 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 740 avg.
735 faults | 739 avg.
735 faults | 739 avg.
735 faults | 739 avg.
735 faults | 739 avg.
735 faults | 739 avg.
735 faults | 739 avg.
735 faults | 739 avg.
735 faults | 739 avg.
734 faults | 739 avg.
733 faults | 738 avg.
733 faults | 738 avg.
733 faults | 738 avg.
733 faults | 738 avg.
733 faults | 738 avg.
733 faults | 738 avg.
733 faults | 738 avg.
730 faults | 738 avg.
730 faults | 738 avg.
730 faults | 738 avg.
730 faults | 737 avg.
730 faults | 737 avg.
730 faults | 737 avg.
730 faults | 737 avg.
730 faults | 736 avg.
729 faults | 736 avg.
729 faults | 736 avg.
729 faults | 736 avg.
729 faults | 736 avg.
729 faults | 735 avg.
729 faults | 735 avg.
729 faults | 735 avg.
729 faults | 735 avg.
729 faults | 734 avg.
729 faults | 734 avg.
